run_id,family_code,family_group,model,status_canonico,L_total_Radar,estado_familia_vigente,constructo_run,rol_funcional_familia,justificacion_breve
C1_v1_clean,C1,clasificacion_random_forest,random_forest_classifier,canonico_completo,,evaluada y pausada tempranamente,baseline prudente de clasificacion,clasificacion bagging base,"Primera apertura real de clasificacion; sirve como antecedente metodologico, pero no dejo senal util por colapso del target."
C1_v2_clean,C1,clasificacion_random_forest,random_forest_classifier,canonico_completo,,evaluada y pausada tempranamente,control parsimonioso de clasificacion,clasificacion bagging base,Variante mas contenida dentro de C1; confirma que el problema era el target y no solo la complejidad del clasificador.
C1_v3_clean,C1,clasificacion_random_forest,random_forest_classifier,canonico_completo,,evaluada y pausada tempranamente,control flexible de clasificacion,clasificacion bagging base,Variante mas flexible de C1; tampoco rompe el colapso a clase unica y cierra la rama temprana.
C2_v1_clean,C2,clasificacion_xgboost,xgboost_classifier,canonico_completo,,evaluada y pausada tempranamente,baseline prudente de clasificacion boosting,clasificacion boosting,Primera apertura real de XGBoost multiclase; replica el mismo colapso a clase unica observado en C1.
C2_v2_clean,C2,clasificacion_xgboost,xgboost_classifier,canonico_completo,,evaluada y pausada tempranamente,control parsimonioso de boosting de clasificacion,clasificacion boosting,Variante mas regularizada dentro de C2; confirma que el problema sigue siendo el target y no la capacidad del booster.
C2_v3_clean,C2,clasificacion_xgboost,xgboost_classifier,canonico_completo,,evaluada y pausada tempranamente,control flexible de boosting de clasificacion,clasificacion boosting,Variante algo mas flexible de C2; tampoco rompe el colapso y cierra la familia tempranamente.
E10_v1_clean,E10,gating_contextual,meta_selector_hard_logistic_regression,canonico_completo,0.2712202353073486,cerrada para promocion,selector contextual duro cerrado para promocion,antecedente metodologico de seleccion contextual,"Primera corrida canonica de gating contextual; metodologicamente limpia, pero no competitiva y cerrada para promocion bajo la formulacion actual."
E11_v1_clean,E11,arquitectura_dual_controlada,dual_parallel,canonico_completo,0.2434417610666145,evaluada sin promocion,apertura dual paralela,apertura dual numerica + categorica,"Primera apertura dual controlada; conserva exactamente el bloque numerico de E1_v5_clean, pero la capa ternaria de direccion sigue casi colapsada a estabilidad."
E11_v2_clean,E11,arquitectura_dual_controlada,dual_fall_detector,canonico_completo,0.2434417610666145,evaluada sin promocion,mejor apertura dual con detector de caidas,apertura dual numerica + categorica,"Mantiene el benchmark numerico de E1_v5_clean y agrega una capa binaria de caidas con senal real, aunque todavia insuficiente para desplazar a E9_v2_clean."
E11_v3_clean,E11,arquitectura_dual_controlada,dual_residual_dual,canonico_completo,0.2438448642603682,evaluada sin promocion,control residual dual no ganador,apertura dual numerica + categorica,Prueba residual dual metodologicamente limpia; agrega complejidad y no mejora el global frente a E1_v5_clean.
E12_v1_clean,E12,representacion_enriquecida,ridge_representacion,canonico_completo,0.2537323291723951,evaluada sin promocion,baseline de representacion minima no ganador,representacion enriquecida por horizonte,Primera apertura de representacion enriquecida con bloque parsimonioso; no captura la mejora esperada en H1 y queda por detras de E1_v5_clean y E9_v2_clean.
