fecha_inicio_semana,proba_baja,proba_se_mantiene,proba_sube
2025-09-01,0.0,1.0,0.0
2025-09-08,0.0,1.0,0.0
2025-09-15,0.0,1.0,0.0
2025-09-22,0.0,1.0,0.0
2025-09-29,0.0,1.0,0.0
2025-10-06,0.0,1.0,0.0
2025-10-13,0.0,1.0,0.0
2025-10-20,0.0,1.0,0.0
2025-10-27,0.0,1.0,0.0
2025-11-03,0.0,1.0,0.0
2025-11-10,0.0,1.0,0.0
2025-11-17,0.0,1.0,0.0
2025-11-24,0.0,1.0,0.0
2025-12-01,0.0,1.0,0.0
2025-12-08,0.0,1.0,0.0
2025-12-15,0.0,1.0,0.0
2025-12-22,0.0,1.0,0.0
2025-12-29,0.0,1.0,0.0
2026-01-05,0.001175697557700861,0.9988243024422991,0.0
2026-01-12,0.07126349399285781,0.9287365060071422,0.0
2026-01-19,0.000906178614825226,0.9990938213851748,0.0
2026-01-26,0.013066466128651477,0.9869335338713485,0.0
2026-02-02,0.0004406694206552375,0.9995593305793448,0.0
2026-02-09,0.0018507943654616499,0.9981492056345384,0.0
2026-02-16,0.02967046475051438,0.9703295352494856,0.0
