fecha_inicio_semana,proba_baja,proba_se_mantiene,proba_sube
2025-09-01,0.0,1.0,0.0
2025-09-08,0.0,1.0,0.0
2025-09-15,0.0,1.0,0.0
2025-09-22,0.0,1.0,0.0
2025-09-29,0.0,1.0,0.0
2025-10-06,0.0,1.0,0.0
2025-10-13,0.0,1.0,0.0
2025-10-20,0.0,1.0,0.0
2025-10-27,0.0,1.0,0.0
2025-11-03,0.0,1.0,0.0
2025-11-10,0.0,1.0,0.0
2025-11-17,0.0,1.0,0.0
2025-11-24,0.0,1.0,0.0
2025-12-01,0.0,1.0,0.0
2025-12-08,0.0,1.0,0.0
2025-12-15,0.0,1.0,0.0
2025-12-22,0.0,1.0,0.0
2025-12-29,0.0,0.9905464017862537,0.009453598213746249
2026-01-05,0.0,0.9781284303471878,0.021871569652812235
2026-01-12,0.0,0.9894602242089094,0.010539775791090512
2026-01-19,0.0,0.9828485793757024,0.017151420624297604
2026-01-26,0.0,0.9939215645680339,0.006078435431966075
2026-02-02,0.0,0.9936706149997943,0.0063293850002057355
2026-02-09,0.0,0.8849969844566191,0.11500301554338085
2026-02-16,0.0,0.9015081044456325,0.0984918955543675
2026-02-23,0.0,0.9564053354795076,0.043594664520492404
