2026-04-11 05:04:56 | INFO | radar.facebook_institutional_extractor | Inicio de corrida | run_id=fb_w10_backfill week_name=2026-03-02_semana_02marzo_08marzo_26 output_root=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook week_name_mode=exact_range
2026-04-11 05:04:56 | INFO | radar.facebook_institutional_extractor | Parametros efectivos | since=2026-03-02 until=2026-03-08 pages=2 seed=42 weekly_cap=100 max_posts=8 max_comments_per_post=25 include_replies=True dry_run=False
2026-04-11 05:04:56 | INFO | radar.facebook_institutional_extractor | Paginas institucionales objetivo | pages=MonicaVillarreal:964877296876825:monicavtampico, GobiernoTampico:474462132406835:tampicogob
2026-04-11 05:04:56 | INFO | radar.facebook_institutional_extractor | Procesando pagina 1/2 | page_id=964877296876825 page_label=MonicaVillarreal page_handle=monicavtampico
2026-04-11 05:04:56 | INFO | radar.facebook_institutional_extractor | Descubriendo posts candidatos | page_id=964877296876825 page_label=MonicaVillarreal results_limit=100
2026-04-11 05:10:04 | INFO | radar.facebook_institutional_extractor | Posts actor completado | page_id=964877296876825 status=SUCCEEDED usage_usd=0.2450 items=100
2026-04-11 05:10:04 | INFO | radar.facebook_institutional_extractor | Procesando pagina 2/2 | page_id=474462132406835 page_label=GobiernoTampico page_handle=tampicogob
2026-04-11 05:10:04 | INFO | radar.facebook_institutional_extractor | Descubriendo posts candidatos | page_id=474462132406835 page_label=GobiernoTampico results_limit=100
2026-04-11 05:15:14 | INFO | radar.facebook_institutional_extractor | Posts actor completado | page_id=474462132406835 status=SUCCEEDED usage_usd=0.2450 items=100
2026-04-11 05:15:14 | INFO | radar.facebook_institutional_extractor | Artefacto canonico publicado | source=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/runs/fb_w10_backfill_20260411_050456/facebook_institutional_raw_2026-03-02_semana_02marzo_08marzo_26.csv target=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/facebook_institutional_raw_2026-03-02_semana_02marzo_08marzo_26.csv
2026-04-11 05:15:14 | INFO | radar.facebook_institutional_extractor | Artefacto canonico publicado | source=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/runs/fb_w10_backfill_20260411_050456/posts_selected.csv target=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/posts_selected.csv
2026-04-11 05:15:14 | INFO | radar.facebook_institutional_extractor | Artefacto canonico publicado | source=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/runs/fb_w10_backfill_20260411_050456/comments_selected.csv target=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/comments_selected.csv
2026-04-11 05:15:14 | INFO | radar.facebook_institutional_extractor | Artefacto canonico publicado | source=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/runs/fb_w10_backfill_20260411_050456/selection_audit.csv target=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/selection_audit.csv
2026-04-11 05:15:14 | INFO | radar.facebook_institutional_extractor | Artefacto canonico publicado | source=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/runs/fb_w10_backfill_20260411_050456/summary.json target=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/summary.json
2026-04-11 05:15:14 | INFO | radar.facebook_institutional_extractor | Artefacto canonico publicado | source=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/runs/fb_w10_backfill_20260411_050456/parametros_run.json target=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/parametros_run.json
2026-04-11 05:15:14 | INFO | radar.facebook_institutional_extractor | Artefacto canonico publicado | source=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/runs/fb_w10_backfill_20260411_050456/metadata_run.json target=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/metadata_run.json
2026-04-11 05:15:14 | INFO | radar.facebook_institutional_extractor | Artefacto canonico publicado | source=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/runs/fb_w10_backfill_20260411_050456/run.log target=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/run.log
2026-04-11 05:15:14 | INFO | radar.facebook_institutional_extractor | Artefacto canonico publicado | source=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/runs/fb_w10_backfill_20260411_050456/manifest.json target=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-02_semana_02marzo_08marzo_26/manifest.json
2026-04-11 05:15:14 | INFO | radar.facebook_institutional_extractor | Resumen final | status=success candidate_posts=0 posts_selected=0 comments_saved=0 total_usage_usd=0.4900
