horizonte_sem,representation_mode,feature_name,block,definition,formula_or_procedure,source,temporal_availability,leakage_note,substantive_intuition,source_run_ids
2,minimal,rep_pred_e1_v5_clean,prediccion_archivada,Prediccion historica archivada del run E1_v5_clean para el mismo horizonte,y_pred de E1_v5_clean alineado por fecha y horizonte,/home/emilio/Documentos/RAdAR/Experimentos/runs/E1_v5_clean_20260321_105449/predicciones_h2.csv,prediccion_archivada_temporalmente_valida,Cada valor proviene de una prediccion historica fuera de muestra generada con pasado disponible en su fecha,Resume una lectura funcional alternativa del problema,"E1_v5_clean,E5_v4_clean"
2,minimal,rep_delta_e1_v5_clean,prediccion_archivada,Delta implicito de la prediccion archivada del run E1_v5_clean,rep_pred_e1_v5_clean - y_t_aceptacion_digital,/home/emilio/Documentos/RAdAR/Experimentos/runs/E1_v5_clean_20260321_105449/predicciones_h2.csv,prediccion_archivada_temporalmente_valida,Se deriva solo de la prediccion archivada y del valor actual observable en t,Captura direccion y magnitud del movimiento sugerido por la base,"E1_v5_clean,E5_v4_clean"
2,minimal,rep_pred_e5_v4_clean,prediccion_archivada,Prediccion historica archivada del run E5_v4_clean para el mismo horizonte,y_pred de E5_v4_clean alineado por fecha y horizonte,/home/emilio/Documentos/RAdAR/Experimentos/runs/E5_v4_clean_20260330_091736/predicciones_h2.csv,prediccion_archivada_temporalmente_valida,Cada valor proviene de una prediccion historica fuera de muestra generada con pasado disponible en su fecha,Resume una lectura funcional alternativa del problema,"E1_v5_clean,E5_v4_clean"
2,minimal,rep_delta_e5_v4_clean,prediccion_archivada,Delta implicito de la prediccion archivada del run E5_v4_clean,rep_pred_e5_v4_clean - y_t_aceptacion_digital,/home/emilio/Documentos/RAdAR/Experimentos/runs/E5_v4_clean_20260330_091736/predicciones_h2.csv,prediccion_archivada_temporalmente_valida,Se deriva solo de la prediccion archivada y del valor actual observable en t,Captura direccion y magnitud del movimiento sugerido por la base,"E1_v5_clean,E5_v4_clean"
2,minimal,rep_spread_e1_e5,desacuerdo_modelos,Diferencia absoluta entre las predicciones archivadas de E1 y E5,abs(rep_pred_e1_v5_clean - rep_pred_e5_v4_clean),predicciones archivadas E1_v5_clean y E5_v4_clean,prediccion_archivada_temporalmente_valida,Solo usa predicciones historicas fuera de muestra ya disponibles en la fecha,Mide conflicto entre lectura lineal y no lineal tabular,"E1_v5_clean,E5_v4_clean"
2,minimal,rep_pred_mean_e1_e5,consenso_modelos,Promedio de las predicciones archivadas de E1 y E5,"mean(rep_pred_e1_v5_clean, rep_pred_e5_v4_clean)",predicciones archivadas E1_v5_clean y E5_v4_clean,prediccion_archivada_temporalmente_valida,No usa y futuro,Resumen parsimonioso del consenso entre base lineal y no lineal,"E1_v5_clean,E5_v4_clean"
2,minimal,rep_delta_mean_e1_e5,consenso_modelos,Promedio del delta sugerido por E1 y E5,"mean(rep_delta_e1_v5_clean, rep_delta_e5_v4_clean)",predicciones archivadas E1_v5_clean y E5_v4_clean,prediccion_archivada_temporalmente_valida,Deriva solo de predicciones historicas y del valor actual observable,Resume direccion y magnitud promedio sugerida por dos familias,"E1_v5_clean,E5_v4_clean"
2,minimal,rep_delta_std_e1_e5,desacuerdo_modelos,Desviacion estandar del delta sugerido por E1 y E5,"std(rep_delta_e1_v5_clean, rep_delta_e5_v4_clean)",predicciones archivadas E1_v5_clean y E5_v4_clean,prediccion_archivada_temporalmente_valida,Solo usa informacion disponible en t,Proxy minima de incertidumbre inter-familia,"E1_v5_clean,E5_v4_clean"
2,minimal,reg_obs_delta_lag1,regimen_observable,Cambio observado mas reciente del target,y_t - y_t_lag1,dataset maestro,observable_en_t,Usa solo y_t y lags historicos del target,Captura arranque o desaceleracion inmediata,"E1_v5_clean,E5_v4_clean"
2,minimal,reg_obs_delta_lag2,regimen_observable,Cambio observado dos pasos atras,y_t_lag1 - y_t_lag2,dataset maestro,observable_en_t,Usa solo historial del target,Captura persistencia reciente del movimiento,"E1_v5_clean,E5_v4_clean"
2,minimal,reg_obs_delta_lag3,regimen_observable,Cambio observado tres pasos atras,y_t_lag2 - y_t_lag3,dataset maestro,observable_en_t,Usa solo historial del target,Captura continuidad o reversa de la trayectoria reciente,"E1_v5_clean,E5_v4_clean"
2,minimal,reg_obs_delta_mean_w3,regimen_observable,Promedio reciente de cambios observados,"mean(delta_lag1, delta_lag2, delta_lag3)",dataset maestro,observable_en_t,Resume solo cambios ya observados,Resume momentum local,"E1_v5_clean,E5_v4_clean"
2,minimal,reg_obs_abs_delta_mean_w3,regimen_observable,Magnitud tipica reciente del cambio observado,"mean(abs(delta_lag1), abs(delta_lag2), abs(delta_lag3))",dataset maestro,observable_en_t,Usa solo historia del target,Aproxima volatilidad local util para arranques de horizonte,"E1_v5_clean,E5_v4_clean"
2,minimal,reg_obs_delta_std_w3,regimen_observable,Dispersion reciente del cambio observado,"std(delta_lag1, delta_lag2, delta_lag3)",dataset maestro,observable_en_t,No usa ningun valor futuro,Mide estabilidad o cambio de regimen,"E1_v5_clean,E5_v4_clean"
2,minimal,reg_obs_streak_signed_w3,regimen_observable,Suma de signos de los tres cambios observados mas recientes,sign(delta_lag1)+sign(delta_lag2)+sign(delta_lag3),dataset maestro,observable_en_t,Se calcula solo con historial disponible,Resume racha reciente de subidas o bajas,"E1_v5_clean,E5_v4_clean"
