run_id,family_code,family_group,model,status_canonico,L_total_Radar,estado_familia_vigente,constructo_run,rol_funcional_familia,justificacion_breve
C1_v1_clean,C1,clasificacion_random_forest,random_forest_classifier,canonico_completo,,evaluada y pausada tempranamente,baseline prudente de clasificacion,clasificacion bagging base,"Primera apertura real de clasificacion; sirve como antecedente metodologico, pero no dejo senal util por colapso del target."
C1_v2_clean,C1,clasificacion_random_forest,random_forest_classifier,canonico_completo,,evaluada y pausada tempranamente,control parsimonioso de clasificacion,clasificacion bagging base,Variante mas contenida dentro de C1; confirma que el problema era el target y no solo la complejidad del clasificador.
C1_v3_clean,C1,clasificacion_random_forest,random_forest_classifier,canonico_completo,,evaluada y pausada tempranamente,control flexible de clasificacion,clasificacion bagging base,Variante mas flexible de C1; tampoco rompe el colapso a clase unica y cierra la rama temprana.
E10_v1_clean,E10,gating_contextual,meta_selector_hard_logistic_regression,canonico_completo,0.2712202353073486,modelado inicial fragil,selector contextual duro inicial,selector contextual duro,Primera corrida canonica de gating contextual; metodologicamente limpia pero todavia fragil frente a benchmarks.
E1_1_v1_bayesian_base,E1.1,lineal_regularizado,bayesian_ridge,canonico_completo,0.26494553341851,,micro-rama tactica bayesiana,,Verificacion corta para probar margen lineal adicional; no altero el cierre principal de E1.
E1_v1,E1,lineal_regularizado,RidgeCV,canonico_completo,0.261061299229139,cerrada,baseline historico retrointegrado,referente numerico puro,Run historico recuperado para trazabilidad y comparacion retrospectiva; no gobierna la lectura vigente.
E1_v2,E1,lineal_regularizado,RidgeCV,canonico_completo,0.261061299229139,cerrada,baseline historico documentado,referente numerico puro,Version historica previa al cierre limpio; sirve como antecedente de la evolucion de Ridge.
E1_v2_clean,E1,lineal_regularizado,ridge_tscv,canonico_completo,0.2612386698909632,cerrada,baseline Ridge limpio historico,referente numerico puro,"Primera referencia limpia reconstruida de Ridge; importante como antecedente comparativo, pero superada por E1_v4 y E1_v5."
E1_v3_clean,E1,lineal_regularizado,ridge_tscv,canonico_completo,0.3980475726547684,cerrada,hipotesis delta descartada,referente numerico puro,Control sobre target delta; su deterioro ayudo a cerrar la via de Ridge en nivel como direccion preferible.
E1_v4_clean,E1,lineal_regularizado,ridge_tscv,canonico_completo,0.2532774442495118,cerrada,referencia parsimoniosa vigente,referente numerico puro,Run equilibrado y mas simple dentro de E1; conserva valor canonico aunque no sea el campeon global.
E1_v5_clean,E1,lineal_regularizado,ridge_tscv,canonico_completo,0.2434417610666145,cerrada,campeon numerico puro vigente,referente numerico puro,Mejor referente actual para pronostico numerico puro del Radar.
E2_v1_clean,E2,robusto,huber_tscv,canonico_completo,0.3019073236793116,cerrada,baseline robusto limpio,referencia robusta,Primera apertura Huber bajo el marco limpio; fija el punto de partida de la familia robusta.
E2_v2_clean,E2,robusto,huber_tscv,canonico_completo,0.3019203219833318,cerrada,control de convergencia,referencia robusta,Sirve para descartar que el desempeno de Huber se explicara por optimizacion incompleta.
E2_v3_clean,E2,robusto,huber_tscv,canonico_completo,0.2864645117875421,cerrada,campeon interno de familia cerrada,referencia robusta,"Mejor Huber interno; conserva valor historico como referencia robusta, pero no reabre la familia."
